X	Y	mean	nr_fire	nr_100km2	gridsize
-179.5	-35.5	0	0	0	1008841.594
-179.5	-34.5	0	0	0	1021246.691
-179.5	-33.5	0	0	0	1033340.707
-179.5	-32.5	0	0	0	1045119.957
-179.5	-31.5	0	0	0	1056580.854
-179.5	-30.5	0	0	0	1067719.906
-179.5	-29.5	0	0	0	1078533.72
-179.5	-28.5	0	0	0	1089019.002
-179.5	-27.5	0	0	0	1099172.558
-179.5	-26.5	0	0	0	1108991.296
-179.5	-25.5	0	0	0	1118472.224
-179.5	-24.5	0	0	0	1127612.455
-179.5	-23.5	0	0	0	1136409.204
-179.5	-22.5	0	0	0	1144859.792
-179.5	-21.5	0	0	0	1152961.644
-179.5	-20.5	0	0	0	1160712.293
-179.5	-19.5	0	0	0	1168109.378
-179.5	-18.5	0	0	0	1175150.645
-179.5	-17.5	0	0	0	1181833.95
-179.5	-16.5	0	0	0	1188157.257
-179.5	-15.5	0	0	0	1194118.639
-179.5	-14.5	0	0	0	1199716.282
-179.5	-13.5	0	0	0	1204948.479
-179.5	-12.5	0	0	0	1209813.637
-179.5	-11.5	0	0	0	1214310.274
-179.5	-10.5	0	0	0	1218437.02
-179.5	-9.5	0	0	0	1222192.619
-179.5	-8.5	0	0	0	1225575.926
-179.5	-7.5	0	0	0	1228585.91
-179.5	-6.5	0	0	0	1231221.655
-179.5	-5.5	0	0	0	1233482.358
-179.5	-4.5	0	0	0	1235367.33
-179.5	-3.5	0	0	0	1236875.997
-179.5	-2.5	0	0	0	1238007.9
-179.5	-1.5	0	0	0	1238762.693
-179.5	-0.5	0	0	0	1239140.147
-179.5	0.5	0	0	0	1239140.147
-179.5	1.5	0	0	0	1238762.693
-179.5	2.5	0	0	0	1238007.9
-179.5	3.5	0	0	0	1236875.997
-179.5	4.5	0	0	0	1235367.33
-179.5	5.5	0	0	0	1233482.358
-179.5	6.5	0	0	0	1231221.655
-179.5	7.5	0	0	0	1228585.91
-179.5	8.5	0	0	0	1225575.926
-179.5	9.5	0	0	0	1222192.619
-179.5	10.5	0	0	0	1218437.02
-179.5	11.5	0	0	0	1214310.274
-179.5	12.5	0	0	0	1209813.637
-179.5	13.5	0	0	0	1204948.479
-179.5	14.5	0	0	0	1199716.282
-179.5	15.5	0	0	0	1194118.639
-179.5	16.5	0	0	0	1188157.257
-179.5	17.5	0	0	0	1181833.95
-178.5	-35.5	0	0	0	1008841.594
-178.5	-34.5	0	0	0	1021246.691
-178.5	-33.5	0	0	0	1033340.707
-178.5	-32.5	0	0	0	1045119.957
-178.5	-31.5	0	0	0	1056580.854
-178.5	-30.5	0	0	0	1067719.906
-178.5	-29.5	0	0	0	1078533.72
-178.5	-28.5	0	0	0	1089019.002
-178.5	-27.5	0	0	0	1099172.558
-178.5	-26.5	0	0	0	1108991.296
-178.5	-25.5	0	0	0	1118472.224
-178.5	-24.5	0	0	0	1127612.455
-178.5	-23.5	0	0	0	1136409.204
-178.5	-22.5	0	0	0	1144859.792
-178.5	-21.5	0	0	0	1152961.644
-178.5	-20.5	0	0	0	1160712.293
-178.5	-19.5	0	0	0	1168109.378
-178.5	-18.5	0	0	0	1175150.645
-178.5	-17.5	0	0	0	1181833.95
-178.5	-16.5	0	0	0	1188157.257
-178.5	-15.5	0	0	0	1194118.639
-178.5	-14.5	0	0	0	1199716.282
-178.5	-13.5	0	0	0	1204948.479
-178.5	-12.5	0	0	0	1209813.637
-178.5	-11.5	0	0	0	1214310.274
-178.5	-10.5	0	0	0	1218437.02
-178.5	-9.5	0	0	0	1222192.619
-178.5	-8.5	0	0	0	1225575.926
-178.5	-7.5	0	0	0	1228585.91
-178.5	-6.5	0	0	0	1231221.655
-178.5	-5.5	0	0	0	1233482.358
-178.5	-4.5	0	0	0	1235367.33
-178.5	-3.5	0	0	0	1236875.997
-178.5	-2.5	0	0	0	1238007.9
-178.5	-1.5	0	0	0	1238762.693
-178.5	-0.5	0	0	0	1239140.147
-178.5	0.5	0	0	0	1239140.147
-178.5	1.5	0	0	0	1238762.693
-178.5	2.5	0	0	0	1238007.9
-178.5	3.5	0	0	0	1236875.997
-178.5	4.5	0	0	0	1235367.33
-178.5	5.5	0	0	0	1233482.358
-178.5	6.5	0	0	0	1231221.655
-178.5	7.5	0	0	0	1228585.91
-178.5	8.5	0	0	0	1225575.926
