CLM	CTEM	JULES-INFERNO	JSBACH-SPITFIRE	LPJ-GUESS-GlobFIRM	LPJ-GUESS-SPITFIRE	LPJ-GUESS-SIMFIRE-BLAZE	MC2	ORCHIDEE-SPITFIRE	GFED4s	firecci51	MCD45	GFED4
-0.017654315	0.035151559	0.040562076	0.009433919	0.315093308	-0.043142241	0.012220416	-0.159448983	0.052885602	0.118715526	-0.00554305	0.09018064	0.034203723
0.022648076	0.069732388	0.006714731	0.014793929	0.187961322	-0.024893272	0.149122169	0.070172743	-0.137587314	0.101372563	-0.025216872	0.045592875	0.078287355
0.047969436	-0.002087641	-0.039571554	-0.033502228	-0.144461737	-0.047590355	0.030317587	0.232039588	-0.094098724	-0.024941254	-0.020762902	0.019013318	-0.007617006
0.00990197	-0.017266318	-0.014821945	-0.000306417	-0.093950592	-0.032221693	0.021139001	-0.010745565	0.001381357	0.028644419	0.058328914	0.027668426	0.041966338
0.056356992	0.018684512	-0.014524021	0.033663368	-0.052184869	0.068628595	0.025018584	-0.267413728	-0.088339219	0.018711812	0.042413989	0.040204372	0.018993581
-0.03661539	-0.025869472	0.020863116	-0.027466314	-0.113135746	-0.053441935	-0.004641549	0.205297965	-0.021719025	-0.034807489	0.010169537	-0.007398721	-0.023514612
0.044876861	0.042672075	0.019748222	0.027009506	-0.021211842	0.087873155	-0.012068311	0.086662319	0.0003216	0.02296821	0.012019589	0.05731915	0.041078364
-0.019299004	0.011848585	-0.058747106	-0.00701796	-0.137983014	-0.082362773	-0.015817138	-0.107545068	-0.033269528	-0.04856443	0.00387086	-0.024206382	-0.05508067
-0.051101243	-0.007942579	-0.083885683	-0.016354386	-0.096025895	-0.055293486	-0.105823442	-0.04901927	-0.088197869	-0.114455413	-0.109459768	-0.116760198	-0.141300119
0.00737503	-0.069792465	0.022461407	-0.052666957	-0.139382251	0.032370636	-0.10074902	NA	0.147461504	-0.074702832	-0.076134401	-0.063293967	-0.073269822
-0.105307928	-0.059728986	0.026399458	-0.007072266	-0.017045866	0.027851833	-0.035597414	NA	0.102619886	0.011829414	0.058888842	0.03945054	0.049786242
0.040849515	0.004598343	0.074801299	0.059485806	0.31232718	0.122221536	0.036879117	NA	0.158541731	-0.004770525	0.051425261	-0.107770053	0.036466626
-0.061362901	NA	NA	-0.001081859	-0.124994871	-0.077077376	-0.023914566	NA	0.057811674	-0.174343351	-0.174072109	NA	-0.179540306
