"V1" "V2" "V3" "V4" "V5" "V6" "V7" "V8"
"1" 17769155617.4639 2964732720.21377 10644425616.0135 13481031035.4726 1647794397.14022 10403936355.9269 544714531.0019 81618659.2220767
"2" 20629547012.5502 3414515109.79294 10957452130.3272 16040054586.9987 2211720954.40925 7168032106.97847 1072661263.86433 443259176.743198
"3" 38499171032.4487 7309717142.18811 44832123842.9125 26205109608.8944 8148670545.43406 16774971238.9817 9113175861.87024 671142721.996648
"4" 95755780345.6163 18986026848.2575 142558375245.027 44719374051.3352 25660713010.8827 34389646589.037 40039385569.5877 1531138887.96041
"5" 89820629620.5342 39947046257.1601 109178837348.309 72306272034.9023 98418780902.7982 68792468809.2725 45934101594.172 10119153382.0854
"6" 88391632833.2305 62744083876.7662 90505539681.1607 112119025275.282 196727787522.358 95938520167.5645 30303918488.9288 36549620395.1542
"7" 108103700307.166 75955039843.7919 156225066282.107 128645092159.047 263450858815.02 95743325946.2238 51574160647.1198 49276863307.7695
"8" 121849175788.902 76705334539.8069 164847617911.034 129605550759.334 269375985014.47 133407412062.913 85038850998.4685 42679797790.3533
"9" 72056359324.9087 59332357132.1488 105821361953.763 84151464539.8422 154056959750.973 157414692314.956 50192542493.5191 19806385443.6258
"10" 34511072423.9269 35993814720.9085 56046109934.5282 47271970058.3372 54545112359.8332 178849785824.899 27498654074.6805 2919936941.20758
"11" 15943359499.8706 13804085741.8022 12736784224.5589 24061860727.8727 16252553335.4293 100521974836.113 3080500413.44065 827841930.469335
"12" 14486457435.4788 4374005561.37079 3329035035.22806 14190138973.0513 2877353006.02822 60751094003.3254 538937528.643369 174596871.355649
