"V1" "V2" "V3" "V4" "V5" "V6" "V7" "V8" "V9" "V10" "V11"
"1" 309290436134.272 301059467282.211 968213547066.478 205578428013.597 187887303901.07 212519901902.763 386384204600.793 242359242135.283 92150775935.0273 1860.44834474209 869.520505873121
"2" 378325965859.219 318861174146.645 409103609626.319 242798597825.625 186668746527.13 220635485542.092 155041755952.704 156700225993.972 43402608416.6318 676.510028994368 398.089043208247
"3" 397624637384.056 338709553568.293 318852649622.937 234780152092.809 184147329251.889 206250737120.07 64026009823.3585 133166359715.803 21680807435.5137 420.586975959147 260.953223142707
"4" 229793729267.652 250010086531.289 184996530670.592 180721507733.372 150194958217.395 98948056410.8399 21496801399.5712 115181965854.331 8814236391.00195 170.340137179738 139.059357541135
"5" 106786042028.443 169857927163.094 111748858428.327 114937242375.387 122539881666.853 49543912376.1527 11753674169.1972 65074896052.0914 2997232679.9375 89.5896114336754 54.0732318207756
"6" 42988498416.0576 116184406526.039 26979476174.6656 58687596057.7387 84471733013.687 20419184434.892 2192806937.54103 52174442631.9336 557103712.365234 23.5677573965598 18.3855480149687
"7" 10258948533.4272 62529774858.5734 19997204585.1077 22379961871.3673 38391934611.6932 10608033137.1379 678254841.310371 25491636988.7746 172176601.141602 9.66384811039055 3.3372807473861
"8" 7965450150.97464 32357073445.8244 16937554478.702 17935979238.7621 32183400517.0808 8239282350.3109 493561707.141712 9937699478.0528 200750495.600586 6.58064905294589 2.66627734341455
"9" 6579032171.24737 27988390906.233 33818476388.4533 27283869385.8419 60565649381.9216 4856323690.78367 2411734729.88673 12216125200.4948 330478018.004883 29.7370000392458 1.73526645677521
"10" 12489524143.7969 30949306793.4662 186454387808.997 71350773808.1701 129543110062.053 8527393182.64342 54340286609.8534 57224770663.4451 6394587886.21094 385.405166314454 41.5153619549528
"11" 49409875609.9408 83341647403.4187 684215547253.786 142496671409.839 230859190737.931 16860278978.4615 289537341828.134 379373580865.913 55164094490.1787 1133.94964703171 402.247625549719
"12" 163460441647.233 187252730974.664 1201543451735.2 170988848960.349 218328632489.598 51650514686.4386 518004950669.438 382145523269.198 110601098255.553 2232.26124557734 1190.8941305564
