"V1" "V2" "V3" "V4" "V5" "V6" "V7" "V8" "V9" "V10" "V11"
"1" 38845649685.5814 53735848540.3956 53471402769.2643 66751397429.7849 73982146690.7116 6406282675.00297 4603633322.11234 12890813039.1373 5022908981.91211 120.562651566014 9.41047507959956
"2" 24206906868.3758 37878545023.018 40302445912.1797 45640114016.2307 71259140877.5074 6772428400.79855 3809149241.42012 13991195031.0209 2490849637.95605 54.33224954661 15.5974768850501
"3" 11372426117.8144 37515794084.0721 31573823549.6977 36599240954.512 61775066776.073 5406635170.03004 5770799186.00281 16988806631.9057 2047468011.75684 51.7059540818974 18.8867224352362
"4" 13145084233.4687 60523276245.4427 95426642110.595 49690192473.3318 111026498959.483 9328448920.96725 21237396171.8711 73778072325.398 6399367208.52051 168.262145909887 33.9619121877477
"5" 28604740093.9269 137157967381.258 360879753905.367 73806294657.5519 179041595674.361 97984186498.927 127916223678.209 346554818928.009 33052219678.4521 652.393361370765 212.779989817784
"6" 99247329704.7288 223581132254.606 647047163579.794 100701823083.192 169584065077.141 345048112859.305 269521245160.108 705546885918.662 76240954590.0586 1182.95728663331 563.164820650072
"7" 266547667177.775 363704630079.051 865191082130.829 125814931325.095 163456563534.134 504715952359.469 358827978529.59 548538862505.428 107705962191.813 1655.57205522846 772.101889071499
"8" 374417124055.782 485125414685.203 1130278141579.99 177741474388.896 174585075909.934 449642135212.384 426300442156.637 319560855234.444 105892366155.201 2286.379567213 834.592613513523
"9" 402986238790.191 465997186343.768 980748313842.482 180680655740.128 163650207152.871 270621306421.032 368233708628.2 234809146850.578 90204808122.667 2486.01613238834 829.646879737022
"10" 288806558216.745 387357514508.221 626838496867.342 152904875495.981 132242815129.404 119603665138.998 173698003952.976 184259924934.48 54698181088.4131 1502.39608756898 546.883567285218
"11" 152399479669.164 206174933101.47 197575852762.585 107540541608.422 94013349148.0471 33369144703.9367 44274236265.609 89402896341.8266 28858242963.8369 610.609310938674 177.325215970977
"12" 72204341940.5058 95538149138.6237 76960069350.6534 60878259373.8782 77086967184.6853 6582861653.9783 9925919423.18879 27408715372.5753 10205109977.7812 198.49516382257 51.0528953236208
